amplitude_bin;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35
36;0.0;480.0;298.0;615.0;427.0;697.0;550.0;744.0;591.0;632.0;646.0;869.0;680.0;760.0;650.0;650.0;235.0;136.0;30.0;0.0
35;0.0;203.0;204.0;154.0;180.0;135.0;165.0;110.0;99.0;35.0;78.0;34.0;47.0;12.0;61.0;1.0;4.0;0.0;0.0;0.0
34;0.0;113.0;129.0;91.0;97.0;48.0;93.0;54.0;64.0;13.0;35.0;13.0;30.0;5.0;8.0;1.0;4.0;0.0;0.0;0.0
33;0.0;80.0;96.0;60.0;108.0;36.0;65.0;28.0;36.0;5.0;21.0;7.0;16.0;2.0;11.0;1.0;0.0;0.0;0.0;0.0
32;0.0;69.0;97.0;27.0;96.0;35.0;60.0;12.0;24.0;7.0;8.0;2.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
31;0.0;28.0;93.0;16.0;58.0;8.0;36.0;6.0;14.0;0.0;6.0;1.0;5.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0
30;0.0;4.0;50.0;0.0;24.0;1.0;13.0;0.0;8.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;0.0;3.0;29.0;0.0;7.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
28;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
