sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7;;
K15_N36_amp15_idx0_seed666994022;270;17;0;15;1;1;5;1;5;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;24;0;15;1;1;5;2;4;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;26;0;15;1;2;3;3;4;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;32;0;15;1;1;3;1;5;0;4;0;;
K15_N36_amp15_idx0_seed666994022;270;35;0;15;2;1;3;1;5;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;3;1;15;3;1;4;0;4;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;11;1;15;3;1;4;3;4;0;0;0;;
K15_N36_amp15_idx0_seed666994022;270;0;2;15;4;1;5;0;3;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;6;2;15;4;1;3;3;2;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;13;2;15;0;2;2;4;4;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;27;2;15;3;2;2;2;5;0;1;0;;
K15_N36_amp15_idx0_seed666994022;270;30;2;15;5;1;1;3;4;0;1;0;;
K15_N36_amp15_idx0_seed666994022;270;34;2;15;3;1;3;3;3;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;7;3;15;2;0;2;3;7;0;1;0;;
K15_N36_amp15_idx0_seed666994022;270;9;3;15;0;1;3;2;7;0;2;0;;
K15_N36_amp15_idx0_seed666994022;270;10;3;15;1;0;4;3;4;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;19;3;15;2;1;2;4;5;0;1;0;;
K15_N36_amp15_idx0_seed666994022;270;21;3;15;2;1;2;1;6;0;3;0;;
K15_N36_amp15_idx0_seed666994022;270;29;3;15;1;0;2;3;5;0;4;0;;
K15_N36_amp15_idx0_seed666994022;270;1;4;15;4;1;3;2;2;0;3;0;;7
K15_N36_amp15_idx0_seed666994022;270;2;4;15;3;1;4;2;3;0;2;0;;7
K15_N36_amp15_idx0_seed666994022;270;5;4;15;2;0;3;1;6;0;3;0;;10
K15_N36_amp15_idx0_seed666994022;270;12;4;15;1;0;1;6;4;0;3;0;;13
K15_N36_amp15_idx0_seed666994022;270;14;4;15;1;2;2;3;6;0;1;0;;10
