sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx4_seed105536288;270;2;0;15;6;2;2;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;6;0;15;4;4;1;3;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;11;0;15;9;1;1;1;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;13;0;15;4;2;3;3;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;14;0;15;5;1;3;3;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;16;0;15;5;3;1;2;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;26;0;15;5;1;2;3;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;27;0;15;4;1;3;2;0;0;0;5
K15_N36_amp15_idx4_seed105536288;270;30;0;15;5;2;3;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;32;0;15;6;1;3;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;34;0;15;5;2;2;3;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;9;1;15;6;0;3;4;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;17;1;15;6;1;4;1;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;18;1;15;4;1;5;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;35;1;15;4;2;3;2;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;5;2;15;4;3;2;5;0;0;0;1
K15_N36_amp15_idx4_seed105536288;270;20;2;15;5;2;3;4;0;0;0;1
K15_N36_amp15_idx4_seed105536288;270;21;2;15;5;2;2;4;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;25;2;15;3;3;3;3;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;31;2;15;2;4;2;5;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;33;2;15;5;1;4;4;0;0;0;1
K15_N36_amp15_idx4_seed105536288;270;4;3;15;3;1;3;5;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;8;3;15;2;3;2;6;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;10;3;15;5;1;3;5;0;0;0;1
K15_N36_amp15_idx4_seed105536288;270;12;3;15;2;1;3;5;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;15;3;15;2;0;4;5;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;19;3;15;5;1;4;4;0;0;0;1
K15_N36_amp15_idx4_seed105536288;270;23;3;15;3;1;3;5;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;29;3;15;4;1;3;5;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;0;7;15;7;2;2;2;0;0;0;2
K15_N36_amp15_idx4_seed105536288;270;1;7;15;4;3;1;2;0;0;0;5
K15_N36_amp15_idx4_seed105536288;270;3;7;15;7;3;0;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;7;7;15;5;0;0;6;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;22;7;15;5;2;3;2;0;0;0;3
K15_N36_amp15_idx4_seed105536288;270;24;7;15;6;1;2;2;0;0;0;4
K15_N36_amp15_idx4_seed105536288;270;28;7;15;3;1;2;4;0;0;0;5


sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx4_seed105536288;271;0;0;15;2;7;2;2;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;1;0;15;5;4;3;1;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;3;0;15;3;7;3;0;2;0;0;0
K15_N36_amp15_idx4_seed105536288;271;7;0;15;4;5;0;0;6;0;0;0
K15_N36_amp15_idx4_seed105536288;271;22;0;15;3;5;2;3;2;0;0;0
