sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx2_seed581220706;270;8;1;15;0;2;6;2;1;0;2;2
K15_N36_amp15_idx2_seed581220706;270;15;1;15;0;2;6;1;2;0;4;0
K15_N36_amp15_idx2_seed581220706;270;23;1;15;0;2;6;2;4;0;0;1
K15_N36_amp15_idx2_seed581220706;270;7;2;15;0;2;4;4;1;0;3;1
K15_N36_amp15_idx2_seed581220706;270;12;2;15;0;2;4;6;2;0;0;1
K15_N36_amp15_idx2_seed581220706;270;13;2;15;0;2;3;4;2;0;3;1
K15_N36_amp15_idx2_seed581220706;270;18;2;15;0;2;5;1;4;0;3;0
K15_N36_amp15_idx2_seed581220706;270;21;2;15;0;2;5;2;2;0;2;2
K15_N36_amp15_idx2_seed581220706;270;25;2;15;0;2;4;4;1;0;4;0
K15_N36_amp15_idx2_seed581220706;270;28;2;15;0;2;6;1;1;0;4;1
K15_N36_amp15_idx2_seed581220706;270;29;2;15;0;2;4;3;3;0;3;0
K15_N36_amp15_idx2_seed581220706;270;31;2;15;0;2;3;4;2;0;2;2
K15_N36_amp15_idx2_seed581220706;270;9;3;15;0;0;5;3;3;0;4;0
K15_N36_amp15_idx2_seed581220706;270;10;3;15;0;2;5;2;3;0;3;0
K15_N36_amp15_idx2_seed581220706;270;14;3;15;0;2;4;2;4;0;3;0
K15_N36_amp15_idx2_seed581220706;270;19;3;15;0;1;4;2;4;0;4;0
K15_N36_amp15_idx2_seed581220706;270;22;3;15;0;0;6;2;5;0;2;0
K15_N36_amp15_idx2_seed581220706;270;33;3;15;0;0;5;1;5;0;2;2
K15_N36_amp15_idx2_seed581220706;270;4;4;15;0;3;2;4;1;0;4;1
K15_N36_amp15_idx2_seed581220706;270;5;4;15;0;2;3;4;2;0;3;1
K15_N36_amp15_idx2_seed581220706;270;11;4;15;0;0;2;4;2;0;6;1
K15_N36_amp15_idx2_seed581220706;270;20;4;15;0;1;3;5;2;0;3;1
K15_N36_amp15_idx2_seed581220706;270;26;4;15;0;0;5;4;2;0;3;1
K15_N36_amp15_idx2_seed581220706;270;32;4;15;0;1;3;3;3;0;5;0
K15_N36_amp15_idx2_seed581220706;270;1;6;15;0;1;3;2;2;0;5;2
K15_N36_amp15_idx2_seed581220706;270;2;6;15;0;0;3;3;3;0;4;2
K15_N36_amp15_idx2_seed581220706;270;3;6;15;0;2;3;1;2;0;5;2
K15_N36_amp15_idx2_seed581220706;270;6;6;15;0;0;3;2;3;0;4;3
K15_N36_amp15_idx2_seed581220706;270;16;6;15;0;1;3;2;2;0;5;2
K15_N36_amp15_idx2_seed581220706;270;27;6;15;0;1;2;1;4;0;4;3
K15_N36_amp15_idx2_seed581220706;270;30;6;15;0;0;2;3;3;0;4;3
K15_N36_amp15_idx2_seed581220706;270;34;6;15;0;0;2;3;4;0;3;3
