sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx5_seed561426388;270;6;1;15;0;2;6;3;4;0;0;0
K15_N36_amp15_idx5_seed561426388;270;16;1;15;0;2;6;1;3;0;3;0
K15_N36_amp15_idx5_seed561426388;270;19;1;15;0;3;5;2;1;0;4;0
K15_N36_amp15_idx5_seed561426388;270;26;1;15;0;3;5;1;4;0;2;0
K15_N36_amp15_idx5_seed561426388;270;30;1;15;0;4;5;0;3;0;3;0
K15_N36_amp15_idx5_seed561426388;270;35;1;15;0;4;4;1;3;0;3;0
K15_N36_amp15_idx5_seed561426388;270;0;2;15;0;4;3;4;3;0;1;0
K15_N36_amp15_idx5_seed561426388;270;2;2;15;0;4;3;3;3;0;2;0
K15_N36_amp15_idx5_seed561426388;270;3;2;15;0;4;2;2;4;0;3;0
K15_N36_amp15_idx5_seed561426388;270;7;2;15;0;3;3;2;2;0;5;0
K15_N36_amp15_idx5_seed561426388;270;9;2;15;0;2;3;4;3;0;3;0
K15_N36_amp15_idx5_seed561426388;270;10;2;15;0;3;2;4;2;0;4;0
K15_N36_amp15_idx5_seed561426388;270;11;2;15;0;4;4;3;2;0;2;0
K15_N36_amp15_idx5_seed561426388;270;24;2;15;0;4;3;3;1;0;4;0
K15_N36_amp15_idx5_seed561426388;270;29;2;15;0;3;3;3;2;0;4;0
K15_N36_amp15_idx5_seed561426388;270;13;3;15;0;0;7;1;3;0;4;0
K15_N36_amp15_idx5_seed561426388;270;20;3;15;0;1;5;2;4;0;3;0
K15_N36_amp15_idx5_seed561426388;270;27;3;15;0;2;6;1;4;0;2;0
K15_N36_amp15_idx5_seed561426388;270;31;3;15;0;3;4;0;4;0;4;0
K15_N36_amp15_idx5_seed561426388;270;34;3;15;0;2;6;2;4;0;1;0
K15_N36_amp15_idx5_seed561426388;270;1;4;15;0;2;4;2;3;0;4;0
K15_N36_amp15_idx5_seed561426388;270;4;4;15;0;2;4;2;2;0;5;0
K15_N36_amp15_idx5_seed561426388;270;14;4;15;0;3;4;2;0;0;6;0
K15_N36_amp15_idx5_seed561426388;270;17;4;15;0;4;3;3;2;0;3;0
K15_N36_amp15_idx5_seed561426388;270;18;4;15;0;3;1;3;1;0;7;0
K15_N36_amp15_idx5_seed561426388;270;32;4;15;0;2;3;3;3;0;4;0
K15_N36_amp15_idx5_seed561426388;270;33;4;15;0;2;3;4;3;0;3;0
K15_N36_amp15_idx5_seed561426388;270;5;6;15;0;3;0;3;5;0;4;0
K15_N36_amp15_idx5_seed561426388;270;8;6;15;0;1;4;2;4;0;4;0
K15_N36_amp15_idx5_seed561426388;270;12;6;15;0;2;5;0;2;0;6;0
K15_N36_amp15_idx5_seed561426388;270;15;6;15;0;2;3;2;2;0;6;0
K15_N36_amp15_idx5_seed561426388;270;21;6;15;0;3;2;2;3;0;5;0
K15_N36_amp15_idx5_seed561426388;270;22;6;15;0;1;4;1;5;0;4;0
K15_N36_amp15_idx5_seed561426388;270;23;6;15;0;0;3;2;4;0;6;0
K15_N36_amp15_idx5_seed561426388;270;25;6;15;0;2;2;2;4;0;5;0
K15_N36_amp15_idx5_seed561426388;270;28;6;15;0;1;5;0;3;0;6;0


sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx5_seed561426388;271;6;2;15;0;0;2;6;3;0;4;0
K15_N36_amp15_idx5_seed561426388;271;16;2;15;0;0;2;6;1;0;3;3
K15_N36_amp15_idx5_seed561426388;271;19;2;15;0;0;3;5;2;0;1;4
K15_N36_amp15_idx5_seed561426388;271;26;2;15;0;0;3;5;1;0;4;2
K15_N36_amp15_idx5_seed561426388;271;30;2;15;0;0;4;5;0;0;3;3
K15_N36_amp15_idx5_seed561426388;271;35;2;15;0;0;4;4;1;0;3;3
K15_N36_amp15_idx5_seed561426388;271;0;3;15;0;0;4;3;4;0;3;1
K15_N36_amp15_idx5_seed561426388;271;2;3;15;0;0;4;3;3;0;3;2
K15_N36_amp15_idx5_seed561426388;271;3;3;15;0;0;4;2;2;0;4;3
K15_N36_amp15_idx5_seed561426388;271;7;3;15;0;0;3;3;2;0;2;5
K15_N36_amp15_idx5_seed561426388;271;9;3;15;0;0;2;3;4;0;3;3
K15_N36_amp15_idx5_seed561426388;271;10;3;15;0;0;3;2;4;0;2;4
K15_N36_amp15_idx5_seed561426388;271;11;3;15;0;0;4;4;3;0;2;2
