sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx3_seed474792088;270;1;0;15;4;3;0;0;2;0;4;2
K15_N36_amp15_idx3_seed474792088;270;25;0;15;4;4;0;0;3;0;3;1
K15_N36_amp15_idx3_seed474792088;270;27;0;15;1;5;0;0;1;0;2;6
K15_N36_amp15_idx3_seed474792088;270;28;0;15;2;6;1;0;1;0;3;2
K15_N36_amp15_idx3_seed474792088;270;30;0;15;2;5;0;0;1;0;4;3
K15_N36_amp15_idx3_seed474792088;270;35;0;15;3;5;0;0;0;0;4;3
K15_N36_amp15_idx3_seed474792088;270;3;1;15;5;5;1;0;1;0;1;2
K15_N36_amp15_idx3_seed474792088;270;5;1;15;3;3;2;0;1;0;3;3
K15_N36_amp15_idx3_seed474792088;270;7;1;15;3;3;2;0;2;0;3;2
K15_N36_amp15_idx3_seed474792088;270;8;1;15;2;4;2;0;1;0;3;3
K15_N36_amp15_idx3_seed474792088;270;14;1;15;1;6;2;0;3;0;2;1
K15_N36_amp15_idx3_seed474792088;270;15;1;15;4;6;1;0;0;0;3;1
K15_N36_amp15_idx3_seed474792088;270;16;1;15;4;5;0;0;2;0;2;2
K15_N36_amp15_idx3_seed474792088;270;18;1;15;3;4;2;0;1;0;4;1
K15_N36_amp15_idx3_seed474792088;270;21;1;15;3;4;2;0;1;0;2;3
K15_N36_amp15_idx3_seed474792088;270;13;2;15;0;7;1;0;3;0;2;2
K15_N36_amp15_idx3_seed474792088;270;23;2;15;1;7;1;0;1;0;3;2
K15_N36_amp15_idx3_seed474792088;270;9;4;15;2;2;1;0;3;0;5;2
K15_N36_amp15_idx3_seed474792088;270;10;4;15;2;2;2;0;1;0;7;1
K15_N36_amp15_idx3_seed474792088;270;11;4;15;1;4;1;0;2;0;6;1
K15_N36_amp15_idx3_seed474792088;270;22;4;15;3;4;0;0;2;0;6;0
K15_N36_amp15_idx3_seed474792088;270;2;6;15;3;1;1;0;2;0;3;5
K15_N36_amp15_idx3_seed474792088;270;4;6;15;1;4;1;0;3;0;3;3
K15_N36_amp15_idx3_seed474792088;270;6;6;15;3;1;0;0;3;0;4;4
K15_N36_amp15_idx3_seed474792088;270;12;6;15;1;5;1;0;3;0;2;3
K15_N36_amp15_idx3_seed474792088;270;19;6;15;2;4;0;0;2;0;4;3
K15_N36_amp15_idx3_seed474792088;270;26;6;15;1;4;0;0;2;0;5;3
K15_N36_amp15_idx3_seed474792088;270;31;6;15;2;3;0;0;3;0;3;4
K15_N36_amp15_idx3_seed474792088;270;32;6;15;5;1;1;0;3;0;3;2
K15_N36_amp15_idx3_seed474792088;270;34;6;15;2;0;1;0;3;0;5;4
K15_N36_amp15_idx3_seed474792088;270;0;7;15;3;1;1;0;0;0;7;3
K15_N36_amp15_idx3_seed474792088;270;17;7;15;4;5;0;0;0;0;4;2
K15_N36_amp15_idx3_seed474792088;270;20;7;15;1;4;1;0;2;0;4;3
K15_N36_amp15_idx3_seed474792088;270;24;7;15;5;4;1;0;1;0;2;2
K15_N36_amp15_idx3_seed474792088;270;29;7;15;2;3;0;0;1;0;7;2
K15_N36_amp15_idx3_seed474792088;270;33;7;15;2;1;1;0;0;0;7;4


sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx3_seed474792088;271;0;0;15;3;3;1;1;0;0;0;7
K15_N36_amp15_idx3_seed474792088;271;17;0;15;2;4;5;0;0;0;0;4
K15_N36_amp15_idx3_seed474792088;271;20;0;15;3;1;4;1;0;0;2;4
K15_N36_amp15_idx3_seed474792088;271;24;0;15;2;5;4;1;0;0;1;2
K15_N36_amp15_idx3_seed474792088;271;29;0;15;2;2;3;0;0;0;1;7
K15_N36_amp15_idx3_seed474792088;271;33;0;15;4;2;1;1;0;0;0;7
K15_N36_amp15_idx3_seed474792088;271;1;1;15;2;4;3;0;0;0;2;4
K15_N36_amp15_idx3_seed474792088;271;25;1;15;1;4;4;0;0;0;3;3
K15_N36_amp15_idx3_seed474792088;271;27;1;15;6;1;5;0;0;0;1;2
K15_N36_amp15_idx3_seed474792088;271;28;1;15;2;2;6;1;0;0;1;3
K15_N36_amp15_idx3_seed474792088;271;30;1;15;3;2;5;0;0;0;1;4
K15_N36_amp15_idx3_seed474792088;271;35;1;15;3;3;5;0;0;0;0;4
K15_N36_amp15_idx3_seed474792088;271;3;2;15;2;5;5;1;0;0;1;1
K15_N36_amp15_idx3_seed474792088;271;5;2;15;3;3;3;2;0;0;1;3
K15_N36_amp15_idx3_seed474792088;271;7;2;15;2;3;3;2;0;0;2;3
K15_N36_amp15_idx3_seed474792088;271;8;2;15;3;2;4;2;0;0;1;3
K15_N36_amp15_idx3_seed474792088;271;14;2;15;1;1;6;2;0;0;3;2
K15_N36_amp15_idx3_seed474792088;271;15;2;15;1;4;6;1;0;0;0;3
K15_N36_amp15_idx3_seed474792088;271;16;2;15;2;4;5;0;0;0;2;2
K15_N36_amp15_idx3_seed474792088;271;18;2;15;1;3;4;2;0;0;1;4
K15_N36_amp15_idx3_seed474792088;271;21;2;15;3;3;4;2;0;0;1;2
K15_N36_amp15_idx3_seed474792088;271;13;3;15;2;0;7;1;0;0;3;2
K15_N36_amp15_idx3_seed474792088;271;23;3;15;2;1;7;1;0;0;1;3
K15_N36_amp15_idx3_seed474792088;271;9;6;15;2;2;2;1;0;0;3;5
K15_N36_amp15_idx3_seed474792088;271;10;6;15;1;2;2;2;0;0;1;7
K15_N36_amp15_idx3_seed474792088;271;11;6;15;1;1;4;1;0;0;2;6
K15_N36_amp15_idx3_seed474792088;271;22;6;15;0;3;4;0;0;0;2;6
K15_N36_amp15_idx3_seed474792088;271;2;7;15;5;3;1;1;0;0;2;3
K15_N36_amp15_idx3_seed474792088;271;4;7;15;3;1;4;1;0;0;3;3
K15_N36_amp15_idx3_seed474792088;271;6;7;15;4;3;1;0;0;0;3;4
K15_N36_amp15_idx3_seed474792088;271;12;7;15;3;1;5;1;0;0;3;2
K15_N36_amp15_idx3_seed474792088;271;19;7;15;3;2;4;0;0;0;2;4
K15_N36_amp15_idx3_seed474792088;271;26;7;15;3;1;4;0;0;0;2;5
K15_N36_amp15_idx3_seed474792088;271;31;7;15;4;2;3;0;0;0;3;3
K15_N36_amp15_idx3_seed474792088;271;32;7;15;2;5;1;1;0;0;3;3
K15_N36_amp15_idx3_seed474792088;271;34;7;15;4;2;0;1;0;0;3;5
