amplitude_bin;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
35;0.0;0.0;0.0;1.0;38.0;10.0;141.0;34.0;287.0;112.0;330.0;185.0;533.0;360.0;651.0;503.0;762.0;627.0;865.0;740.0;894.0;795.0;945.0;832.0;934.0;849.0;925.0;811.0;908.0;801.0;860.0;737.0;802.0
34;0.0;0.0;1.0;2.0;33.0;23.0;114.0;44.0;161.0;108.0;179.0;135.0;147.0;145.0;123.0;114.0;86.0;112.0;54.0;81.0;49.0;67.0;21.0;47.0;18.0;33.0;9.0;15.0;2.0;11.0;1.0;1.0;0.0
33;0.0;0.0;3.0;17.0;58.0;37.0;141.0;78.0;150.0;159.0;166.0;174.0;113.0;146.0;88.0;100.0;70.0;103.0;29.0;67.0;21.0;45.0;9.0;24.0;8.0;14.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0
32;0.0;0.0;1.0;19.0;60.0;51.0;127.0;121.0;118.0;159.0;121.0;191.0;93.0;121.0;63.0;109.0;45.0;69.0;26.0;40.0;19.0;32.0;6.0;26.0;1.0;6.0;4.0;9.0;0.0;1.0;0.0;0.0;0.0
31;0.0;1.0;3.0;36.0;45.0;69.0;54.0;132.0;55.0;165.0;69.0;146.0;46.0;109.0;34.0;96.0;19.0;46.0;9.0;30.0;3.0;22.0;3.0;11.0;0.0;5.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0
30;0.0;7.0;3.0;40.0;36.0;85.0;23.0;163.0;13.0;128.0;35.0;90.0;14.0;73.0;11.0;50.0;7.0;31.0;3.0;18.0;3.0;13.0;2.0;5.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
29;0.0;6.0;2.0;56.0;24.0;90.0;9.0;116.0;6.0;72.0;11.0;37.0;1.0;27.0;1.0;19.0;2.0;8.0;1.0;9.0;0.0;6.0;1.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
28;0.0;11.0;2.0;56.0;13.0;77.0;4.0;74.0;0.0;35.0;1.0;16.0;0.0;10.0;0.0;5.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
27;0.0;13.0;0.0;79.0;9.0;81.0;3.0;74.0;4.0;24.0;0.0;11.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;0.0;8.0;1.0;73.0;5.0;85.0;1.0;53.0;0.0;21.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;14.0;5.0;45.0;4.0;58.0;0.0;28.0;0.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;0.0;16.0;3.0;59.0;4.0;56.0;1.0;24.0;0.0;4.0;0.0;4.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
23;0.0;21.0;3.0;45.0;3.0;47.0;0.0;16.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.0;24.0;1.0;52.0;3.0;29.0;0.0;8.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
21;0.0;36.0;3.0;36.0;1.0;35.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;29.0;1.0;42.0;3.0;16.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;7.0;0.0
19;0.0;33.0;3.0;32.0;5.0;15.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;49.0;2.0;38.0;2.0;12.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;17.0;7.0
17;0.0;52.0;0.0;38.0;3.0;19.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
